Display Name,Yahoo Ticker,Coordination Priority,Portfolio Bucket,Theme,Weight %,Day Change %,Day P&L,Current Value,Suggested Discussion
Sansera Engineering,SANSERA.NS,Medium,Core exposure,Auto Components,5.153738227746973,1.2332769559477041,2839.990234375,233119.9951171875,Meaningful exposure; keep the thesis and technical structure under review.
Arvind,ARVIND.NS,Medium,Monitor,Textiles / Apparel,2.4276423904437583,-2.943260395046454,-3330.0048828125,109809.99755859375,No urgent action; monitor with the rest of the portfolio.
Ujjivan Small Finance Bank,UJJIVANSFB.NS,Medium,Monitor,Banking,2.145880252559233,3.22220529911299,3030.0006866455183,97064.99862670898,No urgent action; monitor with the rest of the portfolio.
Prudent Corporate Advisory Services,PRUDENT.NS,Medium,Event watch,Wealth Distribution,2.054619786400142,-3.779978619117741,-3651.005859375,92936.9970703125,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
Equitas Small Finance Bank,EQUITASBNK.NS,Medium,Event watch,Banking,1.481876605827131,-4.529269828574966,-3180.0003051757812,67029.99877929688,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
